"DayMoYr","Jdays","WeekSubWeek","ti","tf","Events","Q.Ave","T.Hrs","Vol","Q.Max","Cluster","EventLabel","Volday.L","SmpHrs","ConcSmOut_ugL.obs","ConcSmOut_ugL.sd","SmOut_ug.obs","SmOut_ug.sd","delta.obs","delta.sd"
2016-04-24,207,"W4-2x",2016-04-23 06:38:00,"2016-04-26 11:48:00","4-5",6.30793958403137,77.1666666666667,486.762671234421,7.98674227467689,1,NA,133954.045864961,24,NA,NA,NA,NA,NA,NA
2016-04-25,208,"W4-2x",2016-04-23 06:38:00,"2016-04-26 11:48:00","4-5",6.30793958403137,77.1666666666667,486.762671234421,7.98674227467689,1,NA,157293.437424433,24,NA,NA,NA,NA,NA,NA
2016-04-26,209,"W5-1",2016-04-26 11:50:00,"2016-05-01 10:44:00","5-1",7.80976161323569,118.9,928.580655813724,32.4655416104866,1,NA,87924.8537857907,12.1666666666667,3.586989839,0.00404122690828436,315385.557125192,355.324285026105,-31.4333333333333,0.208166599946614
2016-04-26,209,"W4-2x",2016-04-23 06:38:00,"2016-04-26 11:48:00","4-5",6.30793958403137,77.1666666666667,486.762671234421,7.98674227467689,1,NA,87799.2052997549,11.8333333333333,NA,NA,NA,NA,NA,NA
2016-04-27,210,"W5-1",2016-04-26 11:50:00,"2016-05-01 10:44:00","5-1",7.80976161323569,118.9,928.580655813724,32.4655416104866,1,NA,145227.674660664,24,3.586989839,0.0028777332128687,520930.193349401,417.926502798684,-31.4333333333333,0.208166599946614
2016-04-28,211,"W5-1",2016-04-26 11:50:00,"2016-05-01 10:44:00","5-1",7.80976161323569,118.9,928.580655813724,32.4655416104866,1,NA,149036.94856295,24,3.586989839,0.00287968431690129,534594.020130869,429.179363415552,-31.4333333333333,0.208166599946614
2016-04-29,212,"W5-1",2016-04-26 11:50:00,"2016-05-01 10:44:00","5-1",7.80976161323569,118.9,928.580655813724,32.4655416104866,1,NA,157317.240811019,24,3.586989839,0.00288065613229732,564295.344288642,453.176874458357,-31.4333333333333,0.208166599946614
2016-04-30,213,"W5-1",2016-04-26 11:50:00,"2016-05-01 10:44:00","5-1",7.80976161323569,118.9,928.580655813724,32.4655416104866,1,NA,160596.734392738,24,3.586989839,0.00288181835666814,576058.854443332,462.810617193949,-31.4333333333333,0.208166599946614
2016-05-01,214,"W5-1",2016-04-26 11:50:00,"2016-05-01 10:44:00","5-1",7.80976161323569,118.9,928.580655813724,32.4655416104866,1,NA,228477.203600562,10.7666666666667,3.586989839,0.00443711749999654,819545.407758349,1013.78019844633,-31.4333333333333,0.208166599946614
2016-05-01,214,"W5-2",2016-05-01 10:46:00,"2016-05-03 12:00:00","6-1",18.3314171260427,49.2333333333333,902.516769838838,48.5316537008299,1,NA,264891.495075864,13.2333333333333,0.813034214,0.00105138373228154,215365.84849429,278.5026087425,-30.65,0.512835256198324
2016-05-02,215,"W5-2",2016-05-01 10:46:00,"2016-05-03 12:00:00","6-1",18.3314171260427,49.2333333333333,902.516769838838,48.5316537008299,1,NA,500506.259735028,24,0.813034214,0.000717581613448252,406928.713485748,359.154089401611,-30.65,0.512835256198324
2016-05-03,216,"W5-2",2016-05-01 10:46:00,"2016-05-03 12:00:00","6-1",18.3314171260427,49.2333333333333,902.516769838838,48.5316537008299,1,NA,137119.015027946,12.0333333333333,0.813034214,0.000999019333363039,111482.4506077,136.984546984615,-30.65,0.512835256198324
2016-05-03,216,"W5-3x",2016-05-03 12:02:00,"2016-05-03 13:08:00","6-2",12.1184644687004,1.1,13.3303109155705,12.9614710381104,1,NA,13330.3109155705,1.13333333333333,NA,NA,NA,NA,NA,NA
2016-05-03,216,"W6-1",2016-05-03 13:10:00,"2016-05-10 00:04:00","6-3",5.89503388276492,154.9,913.140748440286,15.2299207267172,1,NA,104054.546157483,10.8333333333333,0.143494568,0.000122293860124986,14931.2621493041,12.7252321131522,NA,NA
2016-05-04,217,"W6-1",2016-05-03 13:10:00,"2016-05-10 00:04:00","6-3",5.89503388276492,154.9,913.140748440286,15.2299207267172,1,NA,154799.854016621,24,0.143494568,8.02467125444226e-05,22212.938178578,12.4221793871903,NA,NA
2016-05-05,218,"W6-1",2016-05-03 13:10:00,"2016-05-10 00:04:00","6-3",5.89503388276492,154.9,913.140748440286,15.2299207267172,1,NA,137036.863076425,24,0.143494568,8.02071614902604e-05,19664.0454672268,10.9913378068896,NA,NA
2016-05-06,219,"W6-1",2016-05-03 13:10:00,"2016-05-10 00:04:00","6-3",5.89503388276492,154.9,913.140748440286,15.2299207267172,1,NA,163067.549673421,24,0.143494568,8.05921525714962e-05,23399.3075952061,13.1419648427404,NA,NA
2016-05-07,220,"W6-1",2016-05-03 13:10:00,"2016-05-10 00:04:00","6-3",5.89503388276492,154.9,913.140748440286,15.2299207267172,1,NA,136258.916425975,24,0.143494568,8.02180803256258e-05,19552.4143486934,10.9304287029416,NA,NA
2016-05-08,221,"W6-1",2016-05-03 13:10:00,"2016-05-10 00:04:00","6-3",5.89503388276492,154.9,913.140748440286,15.2299207267172,1,NA,121090.516355417,24,0.143494568,8.02080470062253e-05,17375.8313333175,9.71243382784338,NA,NA
2016-05-09,222,"W6-1",2016-05-03 13:10:00,"2016-05-10 00:04:00","6-3",5.89503388276492,154.9,913.140748440286,15.2299207267172,1,NA,96461.3295414078,24,0.143494568,8.05752367024395e-05,13841.6768112499,7.77239446043095,NA,NA
2016-05-10,223,"W6-2",2016-05-10 00:06:00,"2016-05-12 06:32:00","7-1",9.02299961404075,54.4333333333333,491.151945657618,91.2185771483047,1,NA,87366.8998613908,23.9,0.041090858,9.50665126303679e-05,3589.98087610463,8.305666489149,NA,NA
2016-05-10,223,"W6-1",2016-05-03 13:10:00,"2016-05-10 00:04:00","6-3",5.89503388276492,154.9,913.140748440286,15.2299207267172,1,NA,371.173193535548,0.1,0.143494568,0.0012413315923021,53.2613370595638,0.460749011351339,NA,NA
2016-05-11,224,"W6-2",2016-05-10 00:06:00,"2016-05-12 06:32:00","7-1",9.02299961404075,54.4333333333333,491.151945657618,91.2185771483047,1,NA,281592.394032375,24,0.041090858,0.000165306420692491,11570.8730770644,46.5490307517215,NA,NA
2016-05-12,225,"W6-4",2016-05-12 09:12:00,"2016-05-12 12:50:00","8-2",179.150849138001,3.63333333333333,650.914751868072,347.869063764883,3,"A-2",650914.751868072,3.66666666666667,0.021934117,2.26425915297221e-05,14277.2403245003,14.7383968472191,-30.25,0.0707106781186558
2016-05-12,225,"W6-2",2016-05-10 00:06:00,"2016-05-12 06:32:00","7-1",9.02299961404075,54.4333333333333,491.151945657618,91.2185771483047,1,NA,122192.651763853,6.56666666666667,0.041090858,0.000181244088368811,5021.00090227193,22.1466957743071,NA,NA
2016-05-12,225,"W6-3",2016-05-12 06:34:00,"2016-05-12 09:10:00","8-1",258.243890821744,2.6,671.434116136534,921.403101980793,2,"A-1",671434.116136534,2.63333333333333,8.922689085,0.0273989081390523,5990997.85934808,18396.5616694507,-30.5666666666667,0.0577350269189634
2016-05-12,225,"W6-5x",2016-05-12 12:52:00,"2016-05-13 12:04:00","8-3",114.993514005054,23.2,2667.84952491726,197.670266787168,3,NA,1628511.1768044,11.1333333333333,NA,NA,NA,NA,NA,NA
2016-05-13,226,"W7-1",2016-05-13 12:06:00,"2016-05-16 15:10:00","9-1",25.9767915649536,75.0666666666667,1949.99115347585,136.754012744175,1,NA,558317.754089025,11.9,0.188811426,0.000243983903987948,105416.771310666,136.220545308423,NA,NA
2016-05-13,226,"W6-5x",2016-05-12 12:52:00,"2016-05-13 12:04:00","8-3",114.993514005054,23.2,2667.84952491726,197.670266787168,3,NA,1039338.34811286,12.1,NA,NA,NA,NA,NA,NA
2016-05-14,227,"W7-1",2016-05-13 12:06:00,"2016-05-16 15:10:00","9-1",25.9767915649536,75.0666666666667,1949.99115347585,136.754012744175,1,NA,830917.970770004,24,0.188811426,0.000154515320248798,156886.806950111,128.389556354009,NA,NA
2016-05-15,228,"W7-1",2016-05-13 12:06:00,"2016-05-16 15:10:00","9-1",25.9767915649536,75.0666666666667,1949.99115347585,136.754012744175,1,NA,393614.786410727,24,0.188811426,0.000153646277605867,74318.9691168947,60.4774467426366,NA,NA
2016-05-16,229,"W7-1",2016-05-13 12:06:00,"2016-05-16 15:10:00","9-1",25.9767915649536,75.0666666666667,1949.99115347585,136.754012744175,1,NA,167140.642206092,15.2,0.188811426,0.000189941345863773,31558.0629974881,31.7469185291605,NA,NA
2016-05-16,229,"W7-2x",2016-05-16 15:12:00,"2016-05-17 09:14:00","9-2",8.89870647842862,18.0333333333333,160.769963710277,10.8236449438807,1,NA,84854.0854714963,8.8,NA,NA,NA,NA,NA,NA
2016-05-17,230,"W7-2x",2016-05-16 15:12:00,"2016-05-17 09:14:00","9-2",8.89870647842862,18.0333333333333,160.769963710277,10.8236449438807,1,NA,75670.0949081072,9.26666666666667,NA,NA,NA,NA,NA,NA
2016-05-17,230,"W8-1",2016-05-17 09:16:00,"2016-05-23 18:00:00","9-3",5.25001927828275,152.733333333333,802.027945078995,7.77175824442973,1,NA,85583.7077618118,14.7333333333333,0.25050556,0.000575514102456792,21439.194639749,49.2546307574635,NA,NA
2016-05-18,231,"W8-1",2016-05-17 09:16:00,"2016-05-23 18:00:00","9-3",5.25001927828275,152.733333333333,802.027945078995,7.77175824442973,1,NA,122595.49221373,24,0.25050556,0.000451064044918895,30710.852430476,55.2984186067478,NA,NA
2016-05-19,232,"W8-1",2016-05-17 09:16:00,"2016-05-23 18:00:00","9-3",5.25001927828275,152.733333333333,802.027945078995,7.77175824442973,1,NA,121003.404215646,24,0.25050556,0.000452790938300486,30312.0255349467,54.7892449323553,NA,NA
2016-05-20,233,"W8-1",2016-05-17 09:16:00,"2016-05-23 18:00:00","9-3",5.25001927828275,152.733333333333,802.027945078995,7.77175824442973,1,NA,124881.898611786,24,0.25050556,0.000450956279301352,31283.6099456086,56.3162763500596,NA,NA
2016-05-21,234,"W8-1",2016-05-17 09:16:00,"2016-05-23 18:00:00","9-3",5.25001927828275,152.733333333333,802.027945078995,7.77175824442973,1,NA,123659.094181303,24,0.25050556,0.00045282892896477,30977.29063698,55.996415174873,NA,NA
2016-05-22,235,"W8-1",2016-05-17 09:16:00,"2016-05-23 18:00:00","9-3",5.25001927828275,152.733333333333,802.027945078995,7.77175824442973,1,NA,145473.618413894,24,0.25050556,0.000455257565644204,36441.9502459989,66.2279653845632,NA,NA
2016-05-23,236,"W8-1",2016-05-17 09:16:00,"2016-05-23 18:00:00","9-3",5.25001927828275,152.733333333333,802.027945078995,7.77175824442973,1,NA,78685.0076205646,18.0333333333333,0.25050556,0.000521313964390089,19711.0318975938,41.0195932607409,NA,NA
