"DayMoYr","SubWeeks","Volday.L","SmpHrs","SmOut_ug.obs","SmOut_ug.sd","OxOut_ug.obs","OxOut_ug.sd","EsOut_ug.obs","EsOut_ug.sd","ConcSmOut_ugL.obs","ConcSmOut_ugL.sd","ConcOxOut_ugL.obs","ConcOxOut_ugL.sd","ConcEsOut_ugL.obs","ConcEsOut_ugL.sd","delta.obs","delta.sd"
2016-05-03,"W5-2",137119.015027946,12.0333333333333,111482.4506077,136.984546984615,899336.195765291,3334.45399400979,2938967.83240448,5998.52713706514,0.813034214,0.000999019333363039,6.5588,0.0243179546857903,21.4337,0.0437468657125534,-30.65,0.512835256198324
2016-05-03,"W5-3x",13330.3109155705,1.13333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-05-03,"W6-1",104054.546157483,10.8333333333333,14931.2621493041,12.7252321131522,8345.17460183017,10.6536826993832,178453.546660084,1205.64175881353,0.143494568,0.000122293860124986,0.0802,0.000102385557313942,1.715,0.0115866322360277,NA,NA
2016-05-04,"W6-1",154799.854016621,24,22212.938178578,12.4221793871903,12414.948292133,10.3999641381128,265481.749638504,1176.9292749631,0.143494568,8.02467125444226e-05,0.0802,6.71832942232375e-05,1.715,0.00760290946292971,NA,NA
2016-05-05,"W6-1",137036.863076425,24,19664.0454672268,10.9913378068896,10990.3564187293,9.20205025693079,235018.22017607,1041.365354076,0.143494568,8.02071614902604e-05,0.0802,6.71501817127762e-05,1.715,0.00759916223049583,NA,NA
2016-05-06,"W6-1",163067.549673421,24,23399.3075952061,13.1419648427404,13078.0174838084,11.002575217178,279660.847689917,1245.12476207731,0.143494568,8.05921525714962e-05,0.0802,6.74724998272992e-05,1.715,0.00763563789712269,NA,NA
2016-05-07,"W6-1",136258.916425975,24,19552.4143486934,10.9304287029416,10927.9650973632,9.15105658850927,233684.041670548,1035.59457059963,0.143494568,8.02180803256258e-05,0.0802,6.71593230633146e-05,1.715,0.0076001967266651,NA,NA
2016-05-08,"W6-1",121090.516355417,24,17375.8313333175,9.71243382784338,9711.45941170444,8.13133994889213,207670.23554954,920.196637549626,0.143494568,8.02080470062253e-05,0.0802,6.71509230749793e-05,1.715,0.00759924612798516,NA,NA
2016-05-09,"W6-1",96461.3295414078,24,13841.6768112499,7.77239446043095,7736.1986292209,6.50712094361661,165431.180163514,736.389186785946,0.143494568,8.05752367024395e-05,0.0802,6.7458337704368e-05,1.715,0.00763403521687764,NA,NA
2016-05-10,"W6-1",371.173193535548,0.1,53.2613370595638,0.460749011351339,29.7680901215509,0.385743358340655,636.562026913465,43.6532900522175,0.143494568,0.0012413315923021,0.0802,0.00103925435634595,1.715,0.117608951326483,NA,NA
2016-05-10,"W6-2",87366.8998613908,23.9,3589.98087610463,8.305666489149,178350.789377043,805.388053652519,833191.913908126,1211.84252003095,0.041090858,9.50665126303679e-05,2.0414,0.00921845750427544,9.5367,0.013870728181423,NA,NA
2016-05-11,"W6-2",281592.394032375,24,11570.8730770644,46.5490307517215,574842.71317769,4513.78987171221,2685462.18416855,6791.760156137,0.041090858,0.000165306420692491,2.0414,0.0160295163057325,9.5367,0.0241191179167863,NA,NA
2016-05-12,"W6-2",122192.651763853,6.56666666666667,5021.00090227193,22.1466957743071,249444.079310729,2147.53195638261,1165314.66207634,3231.32498187331,0.041090858,0.000181244088368811,2.0414,0.0175749680965504,9.5367,0.0264445114761737,NA,NA
2016-05-12,"W6-3",671434.116136534,2.63333333333333,5990997.85934808,18396.5616694507,24525071.0996495,185626.542772612,54667292.8714856,617202.537763231,8.922689085,0.0273989081390523,36.5264,0.276462780653322,81.4187,0.919230231127733,-30.5666666666667,0.0577350269189634
2016-05-12,"W6-4",650914.751868072,3.66666666666667,14277.2403245003,14.7383968472191,435657.2434253,493.41589445038,3645448.06783714,6843.74253601306,0.021934117,2.26425915297221e-05,0.6693,0.000758034585995043,5.6005,0.0105140381538014,-30.25,0.0707106781186558
2016-05-12,"W6-5x",1628511.1768044,11.1333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-05-13,"W6-5x",1039338.34811286,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-05-13,"W7-1",558317.754089025,11.9,105416.771310666,136.220545308423,679919.360929614,3343.2894330018,1075208.33082464,6663.03457422189,0.188811426,0.000243983903987948,1.2178,0.00598814816207457,1.9258,0.0119341262666698,NA,NA
2016-05-14,"W7-1",830917.970770004,24,156886.806950111,128.389556354009,1011891.90480371,3151.09182755271,1600181.82810887,6279.99286758744,0.188811426,0.000154515320248798,1.2178,0.00379230193400754,1.9258,0.00755789751636714,NA,NA
2016-05-15,"W7-1",393614.786410727,24,74318.9691168947,60.4774467426366,479344.086890983,1484.31066820199,758023.355669777,2958.1684443744,0.188811426,0.000153646277605867,1.2178,0.00377097283803042,1.9258,0.00751538952931414,NA,NA
2016-05-16,"W7-1",167140.642206092,15.2,31558.0629974881,31.7469185291605,203543.874078579,779.171284394705,321879.448760492,1552.85544706832,0.188811426,0.000189941345863773,1.2178,0.00466177031576767,1.9258,0.00929071126311443,NA,NA
2016-05-16,"W7-2x",84854.0854714963,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-05-17,"W7-2x",75670.0949081072,9.26666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-05-17,"W8-1",85583.7077618118,14.7333333333333,21439.194639749,49.2546307574635,1631028.62741228,941.093441271636,5754520.13434258,7404.08320418646,0.25050556,0.000575514102456792,19.0577,0.0109961751586037,67.2385,0.0865127650789888,NA,NA
2016-05-18,"W8-1",122595.49221373,24,30710.852430476,55.2984186067478,2336388.1119616,1056.57028107186,8243137.00321286,8312.60099056274,0.25050556,0.000451064044918895,19.0577,0.0086183452751253,67.2385,0.0678051112684533,NA,NA
2016-05-19,"W8-1",121003.404215646,24,30312.0255349467,54.7892449323553,2306046.57652052,1046.84165255369,8136087.39435371,8236.06068983147,0.25050556,0.000452790938300486,19.0577,0.00865134050847082,67.2385,0.068064702338073,NA,NA
2016-05-20,"W8-1",124881.898611786,24,31283.6099456086,56.3162763500596,2379961.75917383,1076.01818336342,8396871.53980856,8465.60799326702,0.25050556,0.000450956279301352,19.0577,0.00861628622982732,67.2385,0.0677889116627193,NA,NA
2016-05-21,"W8-1",123659.094181303,24,30977.29063698,55.996415174873,2356657.91917902,1069.90669192685,8314652.00410953,8417.52563596478,0.25050556,0.00045282892896477,19.0577,0.00865206638468667,67.2385,0.0680704131927686,NA,NA
2016-05-22,"W8-1",145473.618413894,24,36441.9502459989,66.2279653845632,2772392.57764647,1265.3978497795,9781427.89172262,9955.55866748596,0.25050556,0.000455257565644204,19.0577,0.00869846961652697,67.2385,0.0684354921258706,NA,NA
2016-05-23,"W8-1",78685.0076205646,18.0333333333333,19711.0318975938,41.0195932607409,1499555.26973043,783.749052376439,5290661.88489533,6166.17111596944,0.25050556,0.000521313964390089,19.0577,0.00996058939405382,67.2385,0.0783652604534779,NA,NA
2016-05-23,"W8-2x",26104.9071099394,5.96666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-05-24,"W8-2x",51865.9792994132,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-05-24,"W9-1",53533.8662512431,12,9838.93467377239,16.2118679251997,580183.982271097,1034.28328122093,1948953.93474276,387.78562127699,0.18378898,0.00030283387060286,10.8377,0.0193201678422939,36.406,0.00724374397800917,-30.55,0.413521462562707
2016-05-25,"W9-1",105114.086209306,24,19318.8106880404,22.504328480997,1139194.93211059,1435.729109711,3826783.42253599,538.300400773675,0.18378898,0.000214094316875721,10.8377,0.0136587698327333,36.406,0.00512110622073807,-30.55,0.413521462562707
2016-05-26,"W9-1",93993.3581852275,24,17274.9434276376,20.1288190236544,1018671.81800404,1284.1765725544,3421922.19809139,481.478545635496,0.18378898,0.000214151504024227,10.8377,0.013662418253253,36.406,0.00512247412936,-30.55,0.413521462562707
2016-05-27,"W9-1",91940.8627217224,24,16897.7173799454,19.6748411305135,996427.48791921,1255.21373205471,3347199.04824702,470.619457703747,0.18378898,0.000213994523741456,10.8377,0.0136524032393939,36.406,0.00511871918287489,-30.55,0.413521462562707
2016-05-28,"W9-1",88462.9006159696,24,16258.5062720504,18.9307888950527,958734.378005694,1207.74475494221,3220580.35982499,452.821831932185,0.18378898,0.000213996927109976,10.8377,0.0136525565692811,36.406,0.00511877667111494,-30.55,0.413521462562707
2016-05-29,"W9-1",46112.2899935092,12.1666666666667,8474.93074337126,13.9053015648327,499751.165262655,887.129169519465,1678764.0295037,332.612875409674,0.18378898,0.000301553047285008,10.8377,0.0192384539922944,36.406,0.00721310686275812,-30.55,0.413521462562707
2016-05-29,"W9-2",235632.775906676,11.8333333333333,6300043.33676917,30454.0982057024,33688347.2815446,78664.6274871843,70781164.0359441,100089.673654574,26.73670211,0.129243896943115,142.9697,0.333844165712923,300.3876,0.424769742958913,-31.425,0.478713553878169
2016-05-30,"W9-2",55822.3995078164,5.8,1492506.8667059,6055.88844630644,7980911.71091266,15642.6962806418,16768356.6143941,19903.1307440198,26.73670211,0.108484918235349,142.9697,0.280222570483582,300.3876,0.356543805345253,-31.425,0.478713553878169
