"DayMoYr","Date","Jdays","VolTot.L","ConSmOut_ugL.blk","ConSmOut_ugL.sd","ConOxOut_ugL.blk","ConOxOut_ugL.sd","ConEsOut_ugL.blk","ConEsOut_ugL.sd","deltaOut.blk","deltaOut.sd","SubWeeks"
2016-03-21,"21/03/2016",173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-22,"22/03/2016",174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-23,"23/03/2016",175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-24,"24/03/2016",176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-25,"25/03/2016",177,42938.546547762,0.245659365,0.00102151713117971,4.8241,0.0603811317207932,18.0553,0.185005163705938,NA,NA,"W0-0x"
2016-03-26,"26/03/2016",178,28654.5789074788,0.245659365,0.000720488967225665,4.8241,0.0425875767577097,18.0553,0.130486484525199,NA,NA,"W0-1"
2016-03-27,"27/03/2016",179,28440.0788353364,0.245659365,0.000720268810739018,4.8241,0.0425745634685404,18.0553,0.130446612372682,NA,NA,"W0-1"
2016-03-28,"28/03/2016",180,30558.9899471207,0.371210995857644,0.00113952242805253,5.3174168410039,0.0575043927707334,18.591241460943,0.13609731278119,NA,NA,"W0-1"
2016-03-29,"29/03/2016",181,29590.4178722679,NA,NA,NA,NA,NA,NA,NA,NA,"W0-2x"
2016-03-30,"30/03/2016",182,46096.0116262824,5.98402122895623,0.0189180506869672,27.3712427804378,0.667947047349867,42.5506093781446,0.214072706881386,-31.4666666666667,0.115470053837927,"W0-2x"
2016-03-31,"31/03/2016",183,486587.670182127,6.72971988011701,0.0133618483108468,31.0363214854473,0.365183423134142,44.7723437627047,0.121575563421534,-31.5666666666667,0.134111288501561,"W1-1"
2016-04-01,"01/04/2016",184,373460.272113176,6.92008853162584,0.0105447090307522,41.465549866669,0.0191213003593164,48.4151337430578,0.0576055857052244,-31.6666666666667,0.152752523165195,"W1-2"
2016-04-02,"02/04/2016",185,298173.578432551,NA,NA,NA,NA,NA,NA,NA,NA,"W1-3x"
2016-04-03,"03/04/2016",186,195667.972181916,NA,NA,NA,NA,NA,NA,NA,NA,"W1-3x"
2016-04-04,"04/04/2016",187,149424.590354145,NA,NA,NA,NA,NA,NA,NA,NA,"W1-3x"
2016-04-05,"05/04/2016",188,227605.13841329,9.04493363638418,0.0192595264464988,94.5617745361818,0.0638144235916707,90.6328993617744,0.158170363557829,-31.1333333333333,0.0577350269189613,"W1-3x"
2016-04-06,"06/04/2016",189,330868.300970258,6.4543911603439,0.0110212320558327,76.9074184306414,0.0483161812476942,81.9796423096867,0.0903762871176432,-31.2066666666666,0.282343350572212,"W2-1"
2016-04-07,"07/04/2016",190,233374.119175948,1.042188295,0.00146676240649404,26.8858,0.0229181626014693,51.9525,0.00717601484734531,-31.28,0.506951674225463,"W2-2"
2016-04-08,"08/04/2016",191,172600.74765572,3.56401680980314,0.0149046178107819,32.7732880296238,0.144615727160929,42.9229301912591,0.0357816071219722,-31.28,0.506951674225463,"W2-2"
2016-04-09,"09/04/2016",192,160034.103999615,NA,NA,NA,NA,NA,NA,NA,NA,"W2-3x"
2016-04-10,"10/04/2016",193,133994.770592836,NA,NA,NA,NA,NA,NA,NA,NA,"W2-3x"
2016-04-11,"11/04/2016",194,140936.220433905,NA,NA,NA,NA,NA,NA,NA,NA,"W2-3x"
2016-04-12,"12/04/2016",195,146708.007301286,NA,NA,NA,NA,NA,NA,NA,NA,"W2-3x"
2016-04-13,"13/04/2016",196,134128.652043624,NA,NA,NA,NA,NA,NA,NA,NA,"W2-3x"
2016-04-14,"14/04/2016",197,124273.682057104,7.58490495838523,0.0243885293729557,42.1604968363578,0.15206290256823,28.5258805831515,0.0229667695279907,-30.9666666666667,0.115470053837927,"W2-3x"
2016-04-15,"15/04/2016",198,137350.595657917,8.8357358,0.0180419324500924,45.0807,0.101881013871535,24.0472,0.0125258202394241,-30.9666666666667,0.115470053837927,"W3-1"
2016-04-16,"16/04/2016",199,456543.495022742,9.41282517978813,0.0384430059411712,92.3319515294747,0.252190335051619,62.5591158616496,0.0642505839039018,-30.8833333333334,0.144337567297408,"W3-1"
2016-04-17,"17/04/2016",200,1596313.37894717,8.61442319339136,0.0459606715690942,160.026203495498,0.343999229548323,122.292081412481,0.125006543741829,-30.8,0.173205080756888,"W3-2"
2016-04-18,"18/04/2016",201,814934.405069819,3.92286066627648,0.0192244914606985,70.1818411419507,0.179449594163458,59.1478595747728,0.0979566420136126,-31.4333333333333,0.493288286231624,"W3-2.1x"
2016-04-19,"19/04/2016",202,287224.964313408,0.871835608,0.000707204084563669,11.7541,0.0278818972063081,18.0838,0.0309326552519524,-31.4333333333333,0.493288286231624,"W3-3"
2016-04-20,"20/04/2016",203,194597.918810897,0.871835608,0.000701442449636166,11.7541,0.0276547416845918,18.0838,0.0306806450178627,-31.4333333333333,0.493288286231624,"W3-3"
2016-04-21,"21/04/2016",204,163799.069517694,0.643046160386914,0.00070581789155666,4.99363164396963,0.0242767992882527,10.0362171897657,0.0327038410448971,-31.4333333333333,0.493288286231624,"W3-3"
2016-04-22,"22/04/2016",205,174209.695470694,0.501218996,0.000347124405200006,0.8028,0.00916199183584947,5.0475,0.0175168914055719,NA,NA,"W4-1"
2016-04-23,"23/04/2016",206,154682.339945807,1.21749735651684,0.00144441428450585,0.907069647979224,0.0265826325098995,4.76997375083713,0.0312545417839648,NA,NA,"W4-1"
2016-04-24,"24/04/2016",207,133954.045864961,NA,NA,NA,NA,NA,NA,NA,NA,"W4-2x"
2016-04-25,"25/04/2016",208,157293.437424433,NA,NA,NA,NA,NA,NA,NA,NA,"W4-2x"
2016-04-26,"26/04/2016",209,175724.059085546,3.07306243645299,0.00347799525572339,1.17718686546416,0.0503586981569651,4.05102418444133,0.0260173964203212,-31.4333333333333,0.208166599946614,"W4-2x"
2016-04-27,"27/04/2016",210,145227.674660664,3.586989839,0.0028777332128687,1.252,0.0405493684473048,3.8519,0.0174939322985797,-31.4333333333333,0.208166599946614,"W5-1"
2016-04-28,"28/04/2016",211,149036.94856295,3.586989839,0.00287968431690129,1.252,0.0405768609319947,3.8519,0.0175057931902359,-31.4333333333333,0.208166599946614,"W5-1"
2016-04-29,"29/04/2016",212,157317.240811019,3.586989839,0.00288065613229732,1.252,0.0405905545226237,3.8519,0.0175117009209001,-31.4333333333333,0.208166599946614,"W5-1"
2016-04-30,"30/04/2016",213,160596.734392738,3.586989839,0.00288181835666814,1.252,0.0406069311151515,3.8519,0.0175187661604324,-31.4333333333333,0.208166599946614,"W5-1"
2016-05-01,"01/05/2016",214,493368.698676425,2.097642714321,0.00261930440795225,4.10124071964796,0.0426945760834798,13.2916340176201,0.0372103328977498,-31.0416666666667,0.360500928072469,"W5-1"
2016-05-02,"02/05/2016",215,500506.259735028,0.813034214,0.000717581613448252,6.5588,0.0174672467052743,21.4337,0.0314227617353932,-30.65,0.512835256198324,"W5-2"
2016-05-03,"03/05/2016",216,254503.872101,0.521756799582927,0.000617607522241753,3.74034127493975,0.013783181418039,12.8552506341115,0.0297558351439293,-30.65,0.512835256198324,"W5-2"
2016-05-04,"04/05/2016",217,154799.854016621,0.143494568,8.02467125444226e-05,0.0802,6.71832942232375e-05,1.715,0.00760290946292971,NA,NA,"W6-1"
2016-05-05,"05/05/2016",218,137036.863076425,0.143494568,8.02071614902604e-05,0.0802,6.71501817127762e-05,1.715,0.00759916223049583,NA,NA,"W6-1"
2016-05-06,"06/05/2016",219,163067.549673421,0.143494568,8.05921525714962e-05,0.0802,6.74724998272992e-05,1.715,0.00763563789712269,NA,NA,"W6-1"
2016-05-07,"07/05/2016",220,136258.916425975,0.143494568,8.02180803256258e-05,0.0802,6.71593230633146e-05,1.715,0.0076001967266651,NA,NA,"W6-1"
2016-05-08,"08/05/2016",221,121090.516355417,0.143494568,8.02080470062253e-05,0.0802,6.71509230749793e-05,1.715,0.00759924612798516,NA,NA,"W6-1"
2016-05-09,"09/05/2016",222,96461.3295414078,0.143494568,8.05752367024395e-05,0.0802,6.7458337704368e-05,1.715,0.00763403521687764,NA,NA,"W6-1"
2016-05-10,"10/05/2016",223,87738.0730549264,0.0415240737152208,9.9915751455042e-05,2.03310320430099,0.00918385563934626,9.50361054103662,0.0143095895130635,NA,NA,"W6-1"
2016-05-11,"11/05/2016",224,281592.394032375,0.041090858,0.000165306420692491,2.0414,0.0160295163057325,9.5367,0.0241191179167863,NA,NA,"W6-2"
2016-05-12,"12/05/2016",225,3073052.69657286,1.99690791170841,0.00604951316430671,8.65519849676156,0.0625895735875859,21.673487467658,0.209944564602507,-30.4083333333333,0.0642228525188096,"W6-2"
2016-05-13,"13/05/2016",226,1597656.10220188,0.152624667486587,0.000195986817559813,1.09885970090513,0.00485401639719028,2.72264579231343,0.0116261851456385,NA,NA,"W6-5x"
2016-05-14,"14/05/2016",227,830917.970770004,0.188811426,0.000154515320248798,1.2178,0.00379230193400754,1.9258,0.00755789751636714,NA,NA,"W7-1"
2016-05-15,"15/05/2016",228,393614.786410727,0.188811426,0.000153646277605867,1.2178,0.00377097283803042,1.9258,0.00751538952931414,NA,NA,"W7-1"
2016-05-16,"16/05/2016",229,251994.727677588,0.195736173153472,0.000233219266722081,3.22020750187407,0.00537276419898463,9.25670658847024,0.0179583618593078,NA,NA,"W7-1"
2016-05-17,"17/05/2016",230,161253.802669919,0.240855346283574,0.000515202703898961,16.2671778463107,0.0100053457792703,57.0222691765502,0.0744336697966956,NA,NA,"W7-2x"
2016-05-18,"18/05/2016",231,122595.49221373,0.25050556,0.000451064044918895,19.0577,0.0086183452751253,67.2385,0.0678051112684533,NA,NA,"W8-1"
2016-05-19,"19/05/2016",232,121003.404215646,0.25050556,0.000452790938300486,19.0577,0.00865134050847082,67.2385,0.068064702338073,NA,NA,"W8-1"
2016-05-20,"20/05/2016",233,124881.898611786,0.25050556,0.000450956279301352,19.0577,0.00861628622982732,67.2385,0.0677889116627193,NA,NA,"W8-1"
2016-05-21,"21/05/2016",234,123659.094181303,0.25050556,0.00045282892896477,19.0577,0.00865206638468667,67.2385,0.0680704131927686,NA,NA,"W8-1"
2016-05-22,"22/05/2016",235,145473.618413894,0.25050556,0.000455257565644204,19.0577,0.00869846961652697,67.2385,0.0684354921258706,NA,NA,"W8-1"
2016-05-23,"23/05/2016",236,104789.914730504,0.244965490843307,0.000503171625125367,18.3751205202363,0.0107377981760499,64.6782041593898,0.0724594103663936,NA,NA,"W8-1"
2016-05-24,"24/05/2016",237,105399.845550656,0.194732451941315,0.000338671000984789,12.1860206027289,0.017784923018131,41.4634324797614,0.0189097544355756,-30.55,0.413521462562707,"W8-2x"
